term,furigana,definition,notes,warnings,example1,example2
悪意,あくい,人に害をあたえようとする気持ち。,,,,
安易,あんい,簡単でたやすい様子。,,,,
安否,あんぴ,無事かどうか、ということ。,,,,
育児,いくじ,子どもを育てること。,,,,
以後,いご,これから先。今からのち。,,,,
以降,いこう,ある時をふくんで、それよりのち。,,,,
意志,いし,自分から進んで何かをしようとする気持ち。,,,,
意識,いしき,心に感じたり、気づいたりすること。,,,,
以前,いぜん,ある時をふくんでそれより前。,,,,
胃腸,いちょう,消化器官の胃と腸。,,,,
衣服,いふく,体に着るもの。,,,,
印刷,いんさつ,文字や絵などを大量に刷ること。,,,,
引用,いんよう,他人の言葉や表現などを借りて、自分の文章などで使うこと。,,,有名な文を引用する。,引用元を調べる。
右折,うせつ,車や自転車などが、角で右に曲がること。,,,,
内側,うちがわ,ある物や仕切りの、中のほう。,,,,
宇宙,うちゅう,地球や太陽など、全ての天体をふくんだ空間。,,,,
海辺,うみべ,海のほとり。,,,,
永遠,えいえん,いつまでも果てしなく続くこと。,,,,
映画,えいが,さつえいしたフィルムを映し出して見せるもの。,,,,
永久,えいきゅう,いつまでも、限りなく続くこと。,,,,
衛星,えいせい,地球などわく星の周りを回っている星。,,,,
栄養,えいよう,生物が生きていくために必要な養分。,,,,
液体,えきたい,決まった形はなく、水などのように入れ物によって形が変わって流れるもの。,,,,
沿岸,えんがん,海や川などに沿った陸地。また、陸地に沿った海や川など。,,,,
園芸,えんげい,野菜や花などを、植えて育てること。,,,,
延長,えんちょう,長さや時間がのびること。,,,,
遠方,えんぽう,遠くのほう。遠い所。,,,,
横断,おうだん,横の方向にたち切ること。横や東西の方向に通りぬけること。,,,,
往復,おうふく,行くことと帰ること。,,,校舎とグラウンドを何度も往復する。,一往復するのに３０分かかる。
屋内,おくない,家屋の内。建物の中。,,,,
恩人,おんじん,情けをかけ、力になってくれた人。,,,,
温泉,おんせん,地下水が地熱であたためられてわき出た湯。,,,,
会議,かいぎ,何人かが集まって話し合うこと。,,,,
海上,かいじょう,海の上。,,,,
快晴,かいせい,空が気持ちよく晴れわたること。,,,,
回復,かいふく,悪い状態になったものが、もとのよい状態にもどること。,,,,
回覧,かいらん,順々に回して見ること。,,,,
改良,かいりょう,今までのものを直して、よりよいものにすること。,,,,
確実,かくじつ,確かでまちがいがないこと。,,,,
各地,かくち,いろいろな土地。それぞれの地方。,,,,
革命,かくめい,国の政治などを急に大きく変えること。,,,,
過去,かこ,昔。今よりも前の時。,,,,
果実,かじつ,植物の実。,,,,
合奏,がっそう,複数の楽器で演奏すること。,,,,
可能,かのう,やればできること。,,,,
花粉,かふん,花のおしべの先にできる粉。,,,,
眼科,がんか,目の病気をあつかう、医学の一分野。,,,,
感覚,かんかく,目・耳・鼻・舌・皮ふなどを通して受ける感じ。,,,,
寒気,かんき,寒さ。,,,,
関係,かんけい,関わり合うこと。また、間がら。,,,,
簡潔,かんけつ,短くよくまとまっていること。,,,,
完結,かんけつ,続いていたものが終わること。,,,,
観察,かんさつ,様子をくわしく見ること。,,,,
関心,かんしん,あることに心をひかれること。,,,,
感心,かんしん,心に強く感じること。,,,,
